Taxa	reSRR3584976	reSRR3584977	reSRR3584978	reSRR3584979	reSRR3584980	reSRR3584981	reSRR3584982	reSRR3584983	reSRR3584984	reSRR3584985	reSRR3584986	reSRR3584987
k__archaea	0.162089200699422	0.10458530133266	0.0774129996691431	0.058732337360338	0.12002779253164	0.118588181660981	0.0730365390344162	0.0587491215741391	0.156725039684263	0.100302059454342	0.114323286878464	0.116030089348774
k__archaea|p__candidatus_lokiarchaeota	0	0	0.00101512918458808	0.000858769077741751	0.000989533940211824	0	0.0013177724374717	0.00154602951510892	0	0	0.000613599562342038	0.000395669528896075
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum	0	0	0.00101512918458808	0.000858769077741751	0.000989533940211824	0	0.0013177724374717	0.00154602951510892	0	0	0.000613599562342038	0.000395669528896075
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum|s__candidatus_prometheoarchaeum_syntrophicum	0	0	0.00101512918458808	0.000858769077741751	0.000989533940211824	0	0.0013177724374717	0.00154602951510892	0	0	0.000613599562342038	0.000395669528896075
k__archaea|p__candidatus_thermoplasmatota	0	0	0	0	0.000267441605462655	0	0	0	0	0	0	0.000329724607413396
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata	0	0	0	0	0	0	0	0	0	0	0	0.000329724607413396
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales	0	0	0	0	0	0	0	0	0	0	0	0.000329724607413396
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae	0	0	0	0	0	0	0	0	0	0	0	0.000329724607413396
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__methanomassiliicoccus	0	0	0	0	0	0	0	0	0	0	0	0.000329724607413396
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__methanomassiliicoccus|s__candidatus_methanomassiliicoccus_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0.000329724607413396
k__archaea|p__candidatus_thermoplasmatota|g__aciduliprofundum	0	0	0	0	0.000267441605462655	0	0	0	0	0	0	0
k__archaea|p__candidatus_thermoplasmatota|g__aciduliprofundum|s__aciduliprofundum_boonei	0	0	0	0	0.000267441605462655	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota	0.000286883541060924	0.000353512459002752	0	0	0.000588371532017842	0	0	0	0	0	0.00045212599330466	0
k__archaea|p__crenarchaeota|c__thermoprotei	0.000286883541060924	0.000353512459002752	0	0	0.000588371532017842	0	0	0	0	0	0.00045212599330466	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__sulfolobales	0	0	0	0	0.000588371532017842	0	0	0	0	0	0.00045212599330466	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__sulfolobales|f__sulfolobaceae	0	0	0	0	0.000588371532017842	0	0	0	0	0	0.00045212599330466	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__sulfolobales|f__sulfolobaceae|g__saccharolobus	0	0	0	0	0.000294185766008921	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__sulfolobales|f__sulfolobaceae|g__saccharolobus|s__saccharolobus_caldissimus	0	0	0	0	0.000294185766008921	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__sulfolobales|f__sulfolobaceae|g__sulfolobus	0	0	0	0	0	0	0	0	0	0	0.00045212599330466	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__sulfolobales|f__sulfolobaceae|g__sulfolobus|s__sulfolobus_islandicus	0	0	0	0	0	0	0	0	0	0	0.00045212599330466	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__sulfolobales|f__sulfolobaceae|g__sulfuracidifex	0	0	0	0	0.000267441605462655	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__sulfolobales|f__sulfolobaceae|g__sulfuracidifex|s__sulfuracidifex_tepidarius	0	0	0	0	0.000267441605462655	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermoproteales	0.000286883541060924	0.000353512459002752	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermoproteales|f__thermoproteaceae	0.000286883541060924	0.000353512459002752	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermoproteales|f__thermoproteaceae|g__thermoproteus	0.000286883541060924	0.000353512459002752	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota|c__thermoprotei|o__thermoproteales|f__thermoproteaceae|g__thermoproteus|s__thermoproteus_uzoniensis	0.000286883541060924	0.000353512459002752	0	0	0	0	0	0	0	0	0	0
