clade_name	NCBI_tax_id	reERR3589593_taxonomic_profile	reERR3589592_taxonomic_profile	reERR3589591_taxonomic_profile	reERR3589590_taxonomic_profile	reERR3589589_taxonomic_profile	reERR3589588_taxonomic_profile	reERR3589587_taxonomic_profile	reERR3589586_taxonomic_profile	reERR3589585_taxonomic_profile	reERR3589584_taxonomic_profile	reERR3589583_taxonomic_profile	reERR3589582_taxonomic_profile	reERR3589581_taxonomic_profile	reERR3589580_taxonomic_profile	reERR3589579_taxonomic_profile	reERR3589578_taxonomic_profile	reERR3589577_taxonomic_profile	reERR3589576_taxonomic_profile	reERR3589575_taxonomic_profile	reERR3589574_taxonomic_profile	reERR3589573_taxonomic_profile	reERR3589572_taxonomic_profile	reERR3589571_taxonomic_profile	reERR3589570_taxonomic_profile	reERR3589569_taxonomic_profile	reERR3589568_taxonomic_profile	reERR3589567_taxonomic_profile	reERR3589566_taxonomic_profile	reERR3589565_taxonomic_profile	reERR3589564_taxonomic_profile	reERR3589563_taxonomic_profile	reERR3589562_taxonomic_profile	reERR3589561_taxonomic_profile	reERR3589560_taxonomic_profile	reERR3589559_taxonomic_profile	reERR3589558_taxonomic_profile	reERR3589557_taxonomic_profile	reERR3589556_taxonomic_profile	reERR3589555_taxonomic_profile	reERR3589554_taxonomic_profile	reERR3589553_taxonomic_profile
UNCLASSIFIED	-1	87.10637	76.40411	79.98644	71.17603000000001	71.28624	62.55903000000001	72.33859	70.82611999999999	84.89432	85.48883000000001	77.68599	86.53259	70.56711	84.91076	80.31059	74.68744000000001	62.57577	83.08015999999999	86.30149	81.47644	83.41185	71.12935	77.07653	85.68939	79.45603	61.59632	84.06368	63.711180000000006	70.75829	87.42497	86.55115	84.77790999999999	83.47535	85.04354000000001	67.96809	73.42465	78.72319	73.79834	73.40388	78.28707	70.40902
k__Archaea	2157	1.5625966470257917	0.025023439444016003	0.14582678073098648	0.011921592089336342	0.4546594455807515	0.0004343152214178764	0.4286163791681504	0.18585804222088004	1.943480187208676	2.860145729031609	0.1089191253065174	0.3618719753757148	0.0013804024069427364	0.019287067051239386	1.1825085245581617	0.5550208851067133	0.007032012455059803	0.8829787970461601	0.043387291171798924	4.407572263795983	2.8408406139578664	0.3400616008533329	0.3417567765959259	2.9724685260317463	0.015855835318310016	0.000641341471923979	2.248357918646033	0.126687888309866	0.029127666985797367	0.3736192238299064	2.5969881283086593	6.024492319477721	0.6709455922687584	6.5297164028085435	0.2658776316772352	0.7092244425006972	0.23029382254221986	0.02732046966732549	0.013353913563848872	0.12376372651064678	0.5267637877603979
k__Archaea|p__Candidatus_Thermoplasmatota	2157|2283796	0.0027682616102828873	0.02389083681005771	0	0.0011587234090699248	0.013420812220664336	0.0004343152214178764	0.01699793902580999	0.006094423692834671	0.0019441010306613577	0	0	0.03410890696883808	0.0003855708215554337	0.007099487597878369	0.0583633476332968	0.37527893565448106	0.0007597118298973603	0.5908662104979779	0.014956033372705482	0.4240673118769786	0.455847417356738	0.3154031795125485	0.3156836270245237	0.00038352438341025504	0.008303872292900891	0	0.005933091253586822	0.0007548073893171816	0.028349837509015707	0.3733564057081864	0.0036500184515933357	0.17961453058055066	0.5201482044889364	0.0981966106755698	0.2452170523760188	0.6962184642953395	0.18628486603508015	0.02687504146712933	0.00823415980754354	0.02674816398043259	0.020432570033342968
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB128	2157|2283796|9728947	0	0	0.004941347189624583	0	0	0	0	0	0	0.062461878542846634	0.0068459369917314465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.069311241547538e-06	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB128|o__OFGB128	2157|2283796|9728947|29490817	0	0	0.004941347189624583	0	0	0	0	0	0	0.062461878542846634	0.0068459369917314465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.069311241547538e-06	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB128|o__OFGB128|f__FGB128	2157|2283796|9728947|29490817|48065120	0	0	0.004941347189624583	0	0	0	0	0	0	0.062461878542846634	0.0068459369917314465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.069311241547538e-06	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB32152|o__OFGB32152|f__FGB32152|g__GGB53990	2157|2283796|78340217|29941749|41543147|54258540	0.0027682616102828873	0.02389083681005771	0	0.0011587234090699248	0.013420812220664336	0.0004343152214178764	0.01699793902580999	0.006094423692834671	0.0019441010306613577	0	0	0.03410890696883808	0.0003855708215554337	0.007099487597878369	0.0583633476332968	0.37527893565448106	0.0007597118298973603	0.5908662104979779	0.014956033372705482	0.4240673118769786	0.455847417356738	0.3154031795125485	0.3156836270245237	0.00038352438341025504	0.008303872292900891	0	0.005933091253586822	0.0007548073893171816	0.028349837509015707	0.3733564057081864	0.0036500184515933357	0.17961453058055066	0.5201482044889364	0.0981966106755698	0.2452170523760188	0.6962184642953395	0.18628486603508015	0.02687504146712933	0.00823415980754354	0.02674816398043259	0.020432570033342968
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB32152|o__OFGB32152|f__FGB32152|g__GGB53990|s__GGB53990_SGB75167	2157|2283796|78340217|29941749|41543147|54258540|2077786	0.0027682616102828873	0.02389083681005771	0	0.0011587234090699248	0.013420812220664336	0.0004343152214178764	0.01699793902580999	0.006094423692834671	0.0019441010306613577	0	0	0.03410890696883808	0.0003855708215554337	0.007099487597878369	0.0583633476332968	0.37527893565448106	0.0007597118298973603	0.5908662104979779	0.014956033372705482	0.4240673118769786	0.455847417356738	0.3154031795125485	0.3156836270245237	0.00038352438341025504	0.008303872292900891	0	0.005933091253586822	0.0007548073893171816	0.028349837509015707	0.3733564057081864	0.0036500184515933357	0.17961453058055066	0.5201482044889364	0.0981966106755698	0.2452170523760188	0.6962184642953395	0.18628486603508015	0.02687504146712933	0.00823415980754354	0.02674816398043259	0.020432570033342968
k__Archaea|p__Candidatus_Thermoplasmatota|c__CFGB32152|o__OFGB32152|f__FGB32152|g__GGB53990|s__GGB53990_SGB75167|t__SGB75167	2157|2283796|78340217|29941749|41543147|54258540|2077786|SGB75167	0.0027682616102828873	0.02389083681005771	0	0.0011587234090699248	0.013420812220664336	0.0004343152214178764	0.01699793902580999	0.006094423692834671	0.0019441010306613577	0	0	0.03410890696883808	0.0003855708215554337	0.007099487597878369	0.0583633476332968	0.37527893565448106	0.0007597118298973603	0.5908662104979779	0.014956033372705482	0.4240673118769786	0.455847417356738	0.3154031795125485	0.3156836270245237	0.00038352438341025504	0.008303872292900891	0	0.005933091253586822	0.0007548073893171816	0.028349837509015707	0.3733564057081864	0.0036500184515933357	0.17961453058055066	0.5201482044889364	0.0981966106755698	0.2452170523760188	0.6962184642953395	0.18628486603508015	0.02687504146712933	0.00823415980754354	0.02674816398043259	0.020432570033342968
k__Archaea|p__Euryarchaeota	2157|28890	0.0045140586388450815	0	0	0	0	0	0.009388283979430288	0.0014207679934947269	0.008746188785959022	0.015682221015996273	0	2.4241336338258992e-05	0	0	0.0002520244415714861	0.0018604730787279173	0	0.0003823883956088456	0	0	0.00017251678986437828	0	0	0.003994091619768738	0	0	0.0014788903259007715	0	0.0007778294767816585	0	0.0017994564068651007	0.0001400431947982191	0.00027265680046978445	0.00020490344471179743	0	0	0.013455455470467571	0	0	0	0.00046753744609242414
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_unclassified	2157|28890|92813036	0.0042303988557699825	0	0	0	0	0	0	0.0012953203061841045	0.008746188785959022	0.015682221015996273	0	0	0	0	0	0	0	0	0	0	0.00017251678986437828	0	0	0.003994091619768738	0	0	0.0012541882397455895	0	0	0	0.00034563549817961947	0	0	0.00018546005214790427	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_unclassified|o__Euryarchaeota_unclassified	2157|28890|92813036|74725383	0.0042303988557699825	0	0	0	0	0	0	0.0012953203061841045	0.008746188785959022	0.015682221015996273	0	0	0	0	0	0	0	0	0	0	0.00017251678986437828	0	0	0.003994091619768738	0	0	0.0012541882397455895	0	0	0	0.00034563549817961947	0	0	0.00018546005214790427	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_unclassified|o__Euryarchaeota_unclassified|f__Euryarchaeota_unclassified	2157|28890|92813036|74725383|52075550	0.0042303988557699825	0	0	0	0	0	0	0.0012953203061841045	0.008746188785959022	0.015682221015996273	0	0	0	0	0	0	0	0	0	0	0.00017251678986437828	0	0	0.003994091619768738	0	0	0.0012541882397455895	0	0	0	0.00034563549817961947	0	0	0.00018546005214790427	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_unclassified|o__Euryarchaeota_unclassified|f__Euryarchaeota_unclassified|g__Euryarchaeota_unclassified	2157|28890|92813036|74725383|52075550|15362140	0.0042303988557699825	0	0	0	0	0	0	0.0012953203061841045	0.008746188785959022	0.015682221015996273	0	0	0	0	0	0	0	0	0	0	0.00017251678986437828	0	0	0.003994091619768738	0	0	0.0012541882397455895	0	0	0	0.00034563549817961947	0	0	0.00018546005214790427	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_unclassified|o__Euryarchaeota_unclassified|f__Euryarchaeota_unclassified|g__Euryarchaeota_unclassified|s__Euryarchaeota_archaeum_SCGC_AAA287_I03	2157|28890|92813036|74725383|52075550|15362140|1298899	0.0042303988557699825	0	0	0	0	0	0	0.0012953203061841045	0.008746188785959022	0.015682221015996273	0	0	0	0	0	0	0	0	0	0	0.00017251678986437828	0	0	0.003994091619768738	0	0	0.0012541882397455895	0	0	0	0.00034563549817961947	0	0	0.00018546005214790427	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_unclassified|o__Euryarchaeota_unclassified|f__Euryarchaeota_unclassified|g__Euryarchaeota_unclassified|s__Euryarchaeota_archaeum_SCGC_AAA287_I03|t__SGB46357	2157|28890|92813036|74725383|52075550|15362140|1298899|SGB46357	0.0042303988557699825	0	0	0	0	0	0	0.0012953203061841045	0.008746188785959022	0.015682221015996273	0	0	0	0	0	0	0	0	0	0	0.00017251678986437828	0	0	0.003994091619768738	0	0	0.0012541882397455895	0	0	0	0.00034563549817961947	0	0	0.00018546005214790427	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria	2157|28890|183963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014538209086854812	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales	2157|28890|183963|2235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00014793737276170486	0	0	0	0	0	0	0	0	0	0
