sample_accession	study_accession	_links.structuredData.href	accession	climatic_zone	collection date	common name	depth	ENA first public	ENA last update	ENA-CHECKLIST	enrichment	environment (biome)	environment (feature)	environment (material)	External Id	geographic location (country and/or sea)	geographic location (elevation)	geographic location (latitude)	geographic location (longitude)	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	investigation type	mean_annual_temperatuere_celsius	name	organism	project name	release	sample weight for DNA extraction	sequencing method	soil environmental package	soil_classification	SRA accession	submitted	Submitter Id	substrate	taxId	title	tree_cover	update	webinSubmissionAccountId	Chlorophyll Sensor	Citation	description	environment (feature) further details	environmental package	Event Date/Time End	event date/time start	event label	further details	last update date	Latitude End	latitude start	Longitude End	longitude start	marine region	nitrate sensor	oxygen sensor	protocol description	protocol label	Salinity Sensor	sample collection device	sample material label	sample status	sampling campaign	sampling platform	sampling station	size fraction lower threshold	size fraction upper threshold	temperature	alpha_shotgun_woltka_faithspd	alpha_shotgun_woltka_min10k_faithspd	alpha_shotgun_woltka_min10k_richness	alpha_shotgun_woltka_min10k_shannon	alpha_shotgun_woltka_min3450_faithspd	alpha_shotgun_woltka_min3450_richness	alpha_shotgun_woltka_min3450_shannon	alpha_shotgun_woltka_rar10k_faithspd	alpha_shotgun_woltka_rar10k_richness	alpha_shotgun_woltka_rar10k_shannon	alpha_shotgun_woltka_rar3450_faithspd	alpha_shotgun_woltka_rar3450_richness	alpha_shotgun_woltka_rar3450_shannon	alpha_shotgun_woltka_richness	alpha_shotgun_woltka_shannon	barcode_prefix	collection_timestamp	depth_sample	elevation	emp500_principal_investigator	emp500_study_id	emp500_title	empo_0	empo_1	empo_2	empo_3	env biome	env feature	env package	env_material	environmental_package	gcms_analysis_batch	gcms_run_location	gcms_sample_name	gcms_sequence	geo loc name	latitude	lcms_batch	lcms_extraction_protocol	lcms_position	lcms_replicate	lcms_sample_name_cmn	lcms_sample_name_fbmn	lcms_sample_type	lcms_sample_type_sub	longitude	original sample id	physical_specimen_location	physical_specimen_remaining	read_count_shotgun_r1	read_count_shotgun_rep200	read_count_shotgun_woltka_uniq	sample type	sample_name_original	sample_name_plus_plate	sampling method	songbird_train_empo_3	study_sample_number	subject id	tier	body habitat	body product	body site	class	diet	host_family	host_flight	host_phylum	life stage	order	scientific name	sex	taxid	samp_store_loc	samp_store_temp	cur_land_use	cur_vegetation	experimental_factor	fao_class	link_climate_info	ph	ph_meth	salinity_1soil_5water_decisiemens_per_m	store_cond	texture	water content	water_content_soil_meth	elev	INSDC secondary accession	lat lon	NCBI submission model	NCBI submission package	isolation source	replicate	season	site name	host	samp_collect_device
SAMEA3914788	PRJEB12502	https://www.ebi.ac.uk/biosamples/structureddata/SAMEA3914788	SAMEA3914788	Dfb, Humid Continental warm summer	2011-07-03	shotgun metagenome	0.1 m	2018-03-01	2017-12-04	ERC000022	C13	forest	forest	soil	SAMEA3914788	Canada	445 m	49.07 DD	-89.41 DD	Cornell University	Cornell University	2018-03-01T17:02:25Z	2017-12-04T09:19:13Z	public	mimarks-survey	0.4	A7025_meta	metagenome http://purl.obolibrary.org/obo/NCBITaxon_256318	SIP-Cellulose-based Assessment of Biodiversity of Cellulolytic Taxa	2018-03-01T17:02:25Z	0.5 g	Illumina	soil	Orthic Dystric Brunisol	ERS1101922	2016-04-03T23:01:00Z	A7025_meta	Cellulose	256318	A7025	Black Spruce	2021-08-21T14:51:32.014Z	Webin-41009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMEA3914789	PRJEB12502	https://www.ebi.ac.uk/biosamples/structureddata/SAMEA3914789	SAMEA3914789	Dfb, Humid Continental warm summer	2011-07-03	shotgun metagenome	0.3 m	2018-03-01	2017-12-04	ERC000022	C13	forest	forest	soil	SAMEA3914789	Canada	445 m	49.07 DD	-89.41 DD	Cornell University	Cornell University	2018-03-01T17:02:26Z	2017-12-04T09:19:13Z	public	mimarks-survey	0.4	A7026_meta	metagenome http://purl.obolibrary.org/obo/NCBITaxon_256318	SIP-Cellulose-based Assessment of Biodiversity of Cellulolytic Taxa	2018-03-01T17:02:26Z	0.5 g	Illumina	soil	Orthic Dystric Brunisol	ERS1101923	2016-04-03T23:01:00Z	A7026_meta	Cellulose	256318	A7026 http://www.ebi.ac.uk/efo/EFO_0002104	Black Spruce	2021-08-21T14:51:32.046Z	Webin-41009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMEA3914790	PRJEB12502	https://www.ebi.ac.uk/biosamples/structureddata/SAMEA3914790	SAMEA3914790	Dfb, Humid Continental warm summer	2011-07-03	shotgun metagenome	0.3 m	2018-03-01	2017-12-04	ERC000022	C12	forest	forest	soil	SAMEA3914790	Canada	445 m	49.07 DD	-89.41 DD	Cornell University	Cornell University	2018-03-01T17:02:25Z	2017-12-04T09:19:13Z	public	mimarks-survey	0.4	A7026_12C_meta	metagenome http://purl.obolibrary.org/obo/NCBITaxon_256318	SIP-Cellulose-based Assessment of Biodiversity of Cellulolytic Taxa	2018-03-01T17:02:25Z	0.5 g	Illumina	soil	Orthic Dystric Brunisol	ERS1101924	2016-04-03T23:01:00Z	A7026_12C_meta	Cellulose	256318	A7026_12C	Black Spruce	2021-08-21T14:51:32.078Z	Webin-41009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMEA3914791	PRJEB12502	https://www.ebi.ac.uk/biosamples/structureddata/SAMEA3914791	SAMEA3914791	Dfb, Humid Continental warm summer	2011-07-03	shotgun metagenome	0.1 m	2018-03-01	2017-12-04	ERC000022	C13	forest	forest	soil	SAMEA3914791	Canada	450 m	49.08 DD	-89.38 DD	Cornell University	Cornell University	2018-03-01T17:02:26Z	2017-12-04T09:19:13Z	public	mimarks-survey	0.4	A8055_meta	metagenome http://purl.obolibrary.org/obo/NCBITaxon_256318	SIP-Cellulose-based Assessment of Biodiversity of Cellulolytic Taxa	2018-03-01T17:02:26Z	0.5 g	Illumina	soil	Orthic Dystric Brunisol	ERS1101925	2016-04-03T23:01:00Z	A8055_meta	Cellulose	256318	A8055 http://www.ebi.ac.uk/efo/EFO_0002103	Black Spruce	2021-08-21T14:51:32.111Z	Webin-41009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMEA3914792	PRJEB12502	https://www.ebi.ac.uk/biosamples/structureddata/SAMEA3914792	SAMEA3914792	Dfb, Humid Continental warm summer	2011-07-03	shotgun metagenome	0.1 m	2018-03-01	2017-12-04	ERC000022	C12	forest	forest	soil	SAMEA3914792	Canada	450 m	49.08 DD	-89.38 DD	Cornell University	Cornell University	2018-03-01T17:02:26Z	2017-12-04T09:19:13Z	public	mimarks-survey	0.4	A8055_12C_meta	metagenome http://purl.obolibrary.org/obo/NCBITaxon_256318	SIP-Cellulose-based Assessment of Biodiversity of Cellulolytic Taxa	2018-03-01T17:02:26Z	0.5 g	Illumina	soil	Orthic Dystric Brunisol	ERS1101926	2016-04-03T23:01:00Z	A8055_12C_meta	Cellulose	256318	A8055_12C	Black Spruce	2021-08-21T14:51:32.117Z	Webin-41009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMEA3914793	PRJEB12502	https://www.ebi.ac.uk/biosamples/structureddata/SAMEA3914793	SAMEA3914793	Dfb, Humid Continental warm summer	2011-07-03	shotgun metagenome	0.3 m	2018-03-01	2017-12-04	ERC000022	C13	forest	forest	soil	SAMEA3914793	Canada	450 m	49.08 DD	-89.38 DD	Cornell University	Cornell University	2018-03-01T17:02:25Z	2017-12-04T09:19:13Z	public	mimarks-survey	0.4	A8056_meta	metagenome http://purl.obolibrary.org/obo/NCBITaxon_256318	SIP-Cellulose-based Assessment of Biodiversity of Cellulolytic Taxa	2018-03-01T17:02:25Z	0.5 g	Illumina	soil	Orthic Dystric Brunisol	ERS1101927	2016-04-03T23:01:01Z	A8056_meta	Cellulose	256318	A8056	Black Spruce	2021-08-21T14:51:32.136Z	Webin-41009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMEA3914794	PRJEB12502	https://www.ebi.ac.uk/biosamples/structureddata/SAMEA3914794	SAMEA3914794	Dfb, Humid Continental warm summer	2011-07-05	shotgun metagenome	0.1 m	2018-03-01	2017-12-04	ERC000022	C13	forest	forest	soil	SAMEA3914794	Canada	445 m	49.07 DD	-89.39 DD	Cornell University	Cornell University	2018-03-01T17:02:26Z	2017-12-04T09:19:14Z	public	mimarks-survey	0.4	A9085_meta	metagenome http://purl.obolibrary.org/obo/NCBITaxon_256318	SIP-Cellulose-based Assessment of Biodiversity of Cellulolytic Taxa	2018-03-01T17:02:26Z	0.5 g	Illumina	soil	Orthic Dystric Brunisol	ERS1101928	2016-04-03T23:01:01Z	A9085_meta	Cellulose	256318	A9085 http://www.ebi.ac.uk/efo/EFO_0002103	Black Spruce	2021-08-21T14:51:32.166Z	Webin-41009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMEA3914795	PRJEB12502	https://www.ebi.ac.uk/biosamples/structureddata/SAMEA3914795	SAMEA3914795	Dfb, Humid Continental warm summer	2011-07-05	shotgun metagenome	0.3 m	2018-03-01	2017-12-04	ERC000022	C13	forest	forest	soil	SAMEA3914795	Canada	445 m	49.07 DD	-89.39 DD	Cornell University	Cornell University	2018-03-01T17:02:25Z	2017-12-04T09:19:13Z	public	mimarks-survey	0.4	A9086_meta	metagenome http://purl.obolibrary.org/obo/NCBITaxon_256318	SIP-Cellulose-based Assessment of Biodiversity of Cellulolytic Taxa	2018-03-01T17:02:25Z	0.5 g	Illumina	soil	Orthic Dystric Brunisol	ERS1101929	2016-04-03T23:01:01Z	A9086_meta	Cellulose	256318	A9086	Black Spruce	2021-08-21T14:51:32.209Z	Webin-41009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMEA3914796	PRJEB12502	https://www.ebi.ac.uk/biosamples/structureddata/SAMEA3914796	SAMEA3914796	Dfc, Boreal cool summer	2011-09-16	shotgun metagenome	0.1 m	2018-03-01	2017-12-04	ERC000022	C13	forest	forest	soil	SAMEA3914796	Canada	780 m	54.35 DD	-122.61 DD	Cornell University	Cornell University	2018-03-01T17:02:26Z	2017-12-04T09:19:13Z	public	mimarks-survey	2.2	BL043_meta	metagenome http://purl.obolibrary.org/obo/NCBITaxon_256318	SIP-Cellulose-based Assessment of Biodiversity of Cellulolytic Taxa	2018-03-01T17:02:26Z	0.5 g	Illumina	soil	Orthic Humo-Ferric Podzol, Gleyed Eluviated Dystric Brunisol	ERS1101930	2016-04-03T23:01:01Z	BL043_meta	Cellulose	256318	BL043 http://www.ebi.ac.uk/efo/EFO_0005173	Subalpine fir, Douglas fir, Interior Spruce	2021-08-21T14:51:32.232Z	Webin-41009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SAMEA3914797	PRJEB12502	https://www.ebi.ac.uk/biosamples/structureddata/SAMEA3914797	SAMEA3914797	Dfc, Boreal cool summer	2011-09-16	shotgun metagenome	0.3 m	2018-03-01	2017-12-04	ERC000022	C13	forest	forest	soil	SAMEA3914797	Canada	780 m	54.35 DD	-122.61 DD	Cornell University	Cornell University	2018-03-01T17:02:26Z	2017-12-04T09:19:14Z	public	mimarks-survey	2.2	BL044_meta	metagenome http://purl.obolibrary.org/obo/NCBITaxon_256318	SIP-Cellulose-based Assessment of Biodiversity of Cellulolytic Taxa	2018-03-01T17:02:26Z	0.5 g	Illumina	soil	Orthic Humo-Ferric Podzol, Gleyed Eluviated Dystric Brunisol	ERS1101931	2016-04-03T23:01:01Z	BL044_meta	Cellulose	256318	BL044 http://www.ebi.ac.uk/efo/EFO_0005173	Subalpine fir, Douglas fir, Interior Spruce	2021-08-21T14:51:32.245Z	Webin-41009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
