Taxa	reSRR9320187	reSRR9320188	reSRR9320191	reSRR9320192	reSRR9320193	reSRR9320194	reSRR9320195	reSRR9320196	reSRR9320197	reSRR9320198	reSRR9320199
k__archaea	0.178332836293767	0.241504854149187	0.062028235755787	0.195370408469568	0.0658981838523482	0.0620000890624201	0.110399415046177	0.113839343902755	0.14729682180167	0.147920878035107	0.166101062435983
k__archaea|p__candidatus_lokiarchaeota	0	0	0	0	0.000104919491339814	0	0.000105346974165214	0.000122083575974441	8.70034387487712e-05	0.000106612597131252	0
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum	0	0	0	0	0.000104919491339814	0	0.000105346974165214	0.000122083575974441	8.70034387487712e-05	0.000106612597131252	0
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum|s__candidatus_prometheoarchaeum_syntrophicum	0	0	0	0	0.000104919491339814	0	0.000105346974165214	0.000122083575974441	8.70034387487712e-05	0.000106612597131252	0
k__archaea|p__candidatus_micrarchaeota	0.000217002721214124	0.000289711668686701	0	0.000211535840961077	0.000131149364174768	0	0.00673377858864046	0.0134722816781206	0.0259767409978474	0.0239222266024509	0.0321512833693878
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia	0.000217002721214124	0.000199176772222107	0	0.000122827262493529	0	0	0.00428551490904089	0.00828732039261791	0.0165182242995881	0.0147535432491632	0.0204546580286586
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales	0.000217002721214124	0.000199176772222107	0	0.000122827262493529	0	0	0.00428551490904089	0.00828732039261791	0.0165182242995881	0.0147535432491632	0.0204546580286586
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae	0.000217002721214124	0.000199176772222107	0	0.000122827262493529	0	0	0.00428551490904089	0.00828732039261791	0.0165182242995881	0.0147535432491632	0.0204546580286586
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae|g__candidatus_micrarchaeum	0.000217002721214124	0.000199176772222107	0	0.000122827262493529	0	0	0.00428551490904089	0.00828732039261791	0.0165182242995881	0.0147535432491632	0.0204546580286586
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae|g__candidatus_micrarchaeum|s__candidatus_micrarchaeum_sp.	0.000217002721214124	0.000199176772222107	0	0.000122827262493529	0	0	0.00428551490904089	0.00828732039261791	0.0165182242995881	0.0147535432491632	0.0204546580286586
k__archaea|p__candidatus_micrarchaeota|g__candidatus_mancarchaeum	0	8.44992367002879e-05	0	8.18848416623524e-05	0.000131149364174768	0	0.00244826367959957	0.00517777989868068	0.00945851669825927	0.00916868335328766	0.0116966253407292
k__archaea|p__candidatus_micrarchaeota|g__candidatus_mancarchaeum|s__candidatus_mancarchaeum_acidiphilum	0	8.44992367002879e-05	0	8.18848416623524e-05	0.000131149364174768	0	0.00244826367959957	0.00517777989868068	0.00945851669825927	0.00916868335328766	0.0116966253407292
k__archaea|p__candidatus_nanohaloarchaeota	0	0	0	0	0	0	0	0.000100539415508363	6.21453133919794e-05	0	0
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia	0	0	0	0	0	0	0	0.000100539415508363	6.21453133919794e-05	0	0
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales	0	0	0	0	0	0	0	0.000100539415508363	6.21453133919794e-05	0	0
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae	0	0	0	0	0	0	0	0.000100539415508363	6.21453133919794e-05	0	0
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae|g__candidatus_nanohalobium	0	0	0	0	0	0	0	0.000100539415508363	6.21453133919794e-05	0	0
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae|g__candidatus_nanohalobium|s__candidatus_nanohalobium_constans	0	0	0	0	0	0	0	0.000100539415508363	6.21453133919794e-05	0	0
