Taxonomy	CSM67UH7	CSM7KOON	CSM7KOOP	CSMAHYLR	HSM5MD5D	HSM5MD6W	HSM67VF3	HSM67VFX	HSM67VFZ	HSM67VGK	HSM67VI7	HSM67VI9	HSM67VIB	HSM6XRRJ	HSM6XRTG	HSM6XRUL	HSM6XRUN	HSM6XRVC	HSM6XRVK	HSM7CYXI	HSM7CYXO	HSM7CYZJ	HSM7CZ1A	HSM7CZ1C	HSM7CZ1E	HSM7CZ24	HSM7CZ28	HSM7CZ2A	HSM7J4HC	HSM7J4HW	HSM7J4HY	HSM7J4KO	HSM7J4LD	HSM7J4LN	HSM7J4NY	HSM7J4O5	HSM7J4R2	HSMA33NY	HSMA33SE	HSMA33SG	MSM6J2JR	MSM6J2JZ	MSM6J2K6	MSM6J2KA	MSM6J2QF	MSM6J2QH	MSM6J2RM	MSM6J2RU	MSM79H58	MSM79H5E	MSM79H5M	MSM79H5S	MSM79H5U	MSM79H6D	MSM79H6L	MSM79H83	MSM79H8H	MSM79H9A	MSM79HA7	MSM79HC8	MSM79HCP	MSM9VZGO	MSM9VZHB	MSM9VZHN	MSM9VZHP	MSM9VZHR	MSM9VZJZ	MSM9VZKE	MSM9VZL7	MSM9VZLJ	MSM9VZMS	MSM9VZMW	MSM9VZNL	MSM9VZOI	MSM9VZOO	MSM9VZPT	MSMA26BB	MSMA26BF	MSMA26BH	MSMA26BJ	MSMA26BN	MSMA26BR	MSMA26BV	MSMA26DI	MSMAPC5H	MSMAPC7T	MSMB4LZX	MSMB4LZZ	PSM6XBTR	PSM7J154	PSM7J15M	PSM7J17V	PSM7J19P	PSM7J19R	PSM7J1DL	PSMA265L
k__Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79711735176119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79711735176119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79711735176119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79711735176119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79711735176119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79711735176119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A smithii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79711735176119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	58.1818590922447	43.5120687934137	37.0808816742027	35.6370199017039	44.3394086696609	56.8732605747306	54.9024231787054	36.9226325234701	36.7727319661568	60.8535501302436	61.4197607502537	70.5059202187452	30.0916556747155	33.4373873117992	62.712213011594	42.619837843187	63.9105158689594	41.733445486232	43.0152834769674	43.9884520955555	84.050057572218	44.972182313111	34.674918299176	38.3128241636955	58.7051198833109	39.5021273641946	23.2061547769339	21.6314955914172	34.2631169284523	46.7049527245056	11.5925557053195	63.7596052983073	48.7514809691752	19.1225528598018	53.938866215111	60.9155048200962	42.0127981939514	40.629271483113	43.6647403502276	28.8617120556842	64.3354917618488	56.5446231047972	64.4718608596482	41.8663799594528	49.2488484868729	51.1413002920832	51.933377098646	55.4026579993552	22.5658498081873	39.7064772724404	40.7972364016945	58.3037628261223	34.7905911118872	45.9355989367582	39.4608490867529	81.5491895797115	34.8414685254935	36.5401265251393	51.2246565472263	45.0495757915566	77.1577792951175	38.473654032499	56.4569140213404	46.9553848342167	49.3663716176136	47.0929005371697	52.7674805010617	52.5641550568475	49.467263422742	35.9499196140811	44.8722078534538	51.7362533828701	42.5074136107871	43.3440230042367	75.322296759627	37.7196586074795	48.6836296457687	24.8482333646914	35.3576068977851	43.2237590226791	40.3488686403743	25.5538608601716	39.8522145721128	41.0656525135208	31.1440735215281	66.1319895649406	22.8752761225125	48.1308230597917	29.0994392263028	38.3420022324803	37.9745738241536	53.0376929471354	68.815718745204	37.7598291783944	32.6251025526338	52.8335868986396
k__Bacteria|p__Actinobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.978327453718609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.978327453718609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.978327453718609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.978327453718609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.978327453718609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium adolescentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.978327453718609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota	8.36192471543779	35.2595125057243	25.0302156527696	31.3881616523047	16.8604713188834	56.8732605747306	53.5917041896821	13.0379459061658	28.2949173692845	52.3713634335881	55.7852274876601	64.2361981479397	27.1585049050302	19.7945781745861	53.0616156565279	40.099529262954	59.2586792312103	0	6.66564902969309	43.9884520955555	84.050057572218	18.5745086073123	22.7602359950877	21.6557483843555	58.7051198833109	33.631183444284	16.058204713215	21.6314955914172	27.0966031503947	29.3262297283006	9.64900542879985	58.8367114869093	46.3553216270345	6.99114712954399	35.1450451196025	56.3985689040967	29.8925847222604	29.3428328444129	20.2522341089606	25.498133859406	35.6943513828454	49.302930330325	59.9157437031516	29.4679035843451	49.2488484868729	39.2965078184817	47.6896492212146	34.9661533702972	6.6165020685264	20.807781777235	14.055749322656	47.735165734183	22.6440158130585	16.8890009938651	31.4029282179096	65.7441531756712	22.4374795580889	29.1784623326005	27.4498834204891	1.41264020973125	56.1431377108297	7.24017407448904	15.8602709230917	34.6817311643844	13.4211814850526	29.170284155144	23.1273480391857	43.9718910553103	15.5055379727041	5.55003896341636	37.3654399502862	25.2209190355191	2.13486697569278	38.999463217346	70.7253134487073	23.4788322416204	18.6033740548878	15.5000193097827	20.7280074308684	8.70260735399927	12.9141666536548	17.0240675160431	13.2852791495232	14.1085695750237	28.7161859272767	59.121069950867	2.91685723692402	23.1534304679984	25.7718512924637	15.808981341864	0	8.88438156735412	56.1397343152897	18.7669052573228	25.8988109512346	3.12892565014699
k__Bacteria|p__Bacteroidota|c__Bacteroidia	8.36192471543779	35.2595125057243	25.0302156527696	31.3881616523047	16.8604713188834	56.8732605747306	53.5917041896821	13.0379459061658	28.2949173692845	52.3713634335881	55.7852274876601	64.2361981479397	27.1585049050302	19.7945781745861	53.0616156565279	40.099529262954	59.2586792312103	0	6.66564902969309	43.9884520955555	84.050057572218	18.5745086073123	22.7602359950877	21.6557483843555	58.7051198833109	33.631183444284	16.058204713215	21.6314955914172	27.0966031503947	29.3262297283006	9.64900542879985	58.8367114869093	46.3553216270345	6.99114712954399	35.1450451196025	56.3985689040967	29.8925847222604	29.3428328444129	20.2522341089606	25.498133859406	35.6943513828454	49.302930330325	59.9157437031516	29.4679035843451	49.2488484868729	39.2965078184817	47.6896492212146	34.9661533702972	6.6165020685264	20.807781777235	14.055749322656	47.735165734183	22.6440158130585	16.8890009938651	31.4029282179096	65.7441531756712	22.4374795580889	29.1784623326005	27.4498834204891	1.41264020973125	56.1431377108297	7.24017407448904	15.8602709230917	34.6817311643844	13.4211814850526	29.170284155144	23.1273480391857	43.9718910553103	15.5055379727041	5.55003896341636	37.3654399502862	25.2209190355191	2.13486697569278	38.999463217346	70.7253134487073	23.4788322416204	18.6033740548878	15.5000193097827	20.7280074308684	8.70260735399927	12.9141666536548	17.0240675160431	13.2852791495232	14.1085695750237	28.7161859272767	59.121069950867	2.91685723692402	23.1534304679984	25.7718512924637	15.808981341864	0	8.88438156735412	56.1397343152897	18.7669052573228	25.8988109512346	3.12892565014699
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	8.36192471543779	35.2595125057243	25.0302156527696	31.3881616523047	16.8604713188834	56.8732605747306	53.5917041896821	13.0379459061658	28.2949173692845	52.3713634335881	55.7852274876601	64.2361981479397	27.1585049050302	19.7945781745861	53.0616156565279	40.099529262954	59.2586792312103	0	6.66564902969309	43.9884520955555	84.050057572218	18.5745086073123	22.7602359950877	21.6557483843555	58.7051198833109	33.631183444284	16.058204713215	21.6314955914172	27.0966031503947	29.3262297283006	9.64900542879985	58.8367114869093	46.3553216270345	6.99114712954399	35.1450451196025	56.3985689040967	29.8925847222604	29.3428328444129	20.2522341089606	25.498133859406	35.6943513828454	49.302930330325	59.9157437031516	29.4679035843451	49.2488484868729	39.2965078184817	47.6896492212146	34.9661533702972	6.6165020685264	20.807781777235	14.055749322656	47.735165734183	22.6440158130585	16.8890009938651	31.4029282179096	65.7441531756712	22.4374795580889	29.1784623326005	27.4498834204891	1.41264020973125	56.1431377108297	7.24017407448904	15.8602709230917	34.6817311643844	13.4211814850526	29.170284155144	23.1273480391857	43.9718910553103	15.5055379727041	5.55003896341636	37.3654399502862	25.2209190355191	2.13486697569278	38.999463217346	70.7253134487073	23.4788322416204	18.6033740548878	15.5000193097827	20.7280074308684	8.70260735399927	12.9141666536548	17.0240675160431	13.2852791495232	14.1085695750237	28.7161859272767	59.121069950867	2.91685723692402	23.1534304679984	25.7718512924637	15.808981341864	0	8.88438156735412	56.1397343152897	18.7669052573228	25.8988109512346	3.12892565014699
