Taxonomy	reERR5005154	reERR5005155	reERR5005156	reERR5005157	reERR5005158	reERR5005159	reERR5005160	reERR5005161	reERR5005162	reERR5005164	reERR5005165	reERR5005166	reERR5005168	reERR5005169	reERR5005170	reERR5005171	reERR5005283	reERR5005284	reERR5005285	reERR5005287	reERR5005288	reERR5005289	reERR5005290	reERR5005291	reERR5005292	reERR5005293	reERR5005301	reERR5005302	reERR5005303	reERR5005304	reERR5005305	reERR5005306	reERR5005307	reERR5005308	reERR5005309	reERR5005310	reERR5005311	reERR5005312	reERR5005313	reERR5005314	reERR5005315	reERR5005316	reERR5005317	reERR5005318	reERR5005319	reERR5005320	reERR5005321	reERR5005322	reERR5005323	reERR5005325	reERR5005326	reERR5005327	reERR5005328	reERR5005329	reERR5005330	reERR5005335
k__Archaea	0.00382156428413971	2.02616404450476e-05	4.09843542323534e-06	0.000224854985856783	0.0114167698820601	7.52807725896121e-05	0.000866696484606878	0.000347370009063941	0.00234757641724187	0.0385360953706254	0.643315184422881	0.000625797269135114	9.49117876278828e-05	0.00550367040857648	0.549658134689356	0.000100384928531875	0.00020376926343182	0.000678023783117665	0.000335017164399573	4.67805896089787e-05	6.81787003005564e-05	0.626782368441756	6.48335759745985e-05	0	5.95432265254256	3.92796738117795e-05	0.00119340721727047	2.12232093642371	2.07616215883123	0.00238049052193855	0.170405433970221	0.00431813368767934	0.0139690802821584	1.44379762484004	0.000283529573704152	0.00346142419319376	6.00347929689732e-05	0.000109730964057131	0.000156147305979389	0.000193852024566021	7.25538503655929e-05	6.2043549109083e-05	0.273686878611402	4.6333130225298e-05	0.000373669502956471	0.363671337970135	0	9.63989991523934e-05	0.000753890290838658	0.000215467915962616	0.00196401071780239	0.000112305198455045	1.91054326795214e-05	1.59272604606945e-05	2.23788162759073e-05	0.609820861083554
k__Archaea|p__Asgardarchaeota	0	0	0	0	0	0	0	0	0	0	0	1.14314716978462e-06	5.77513500361402e-07	0.00550367040857648	0.000197557383024316	7.0641094977728e-06	0	4.98819379871186e-06	0	0	0	0	0	0	5.95429831477088	5.72666734290547e-07	0	0	0	0	0	0	0	0	0	0	0	7.00942986041731e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73978133272872e-06	0	0
k__Archaea|p__Asgardarchaeota|c__Wukongarchaeia	0	0	0	0	0	0	0	0	0	0	0	1.14314716978462e-06	5.77513500361402e-07	0.00550367040857648	0.000197557383024316	7.0641094977728e-06	0	4.98819379871186e-06	0	0	0	0	0	0	5.95429831477088	5.72666734290547e-07	0	0	0	0	0	0	0	0	0	0	0	7.00942986041731e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.73978133272872e-06	0	0
k__Archaea|p__Halobacteriota	0	0	0	0	0	0	0	0	0.00217718580132123	0.00782636497950179	0	0.000532765071219002	6.60774101928624e-05	0	0.549224229925061	0	0	0	9.7933987484116e-05	0	0	0.626756524816188	0	0	0	0	0	1.20209788743352	0.0521016024499273	0.000170547845829238	0.110754763115267	0.00121788693347475	0.000392675982036986	0	0	0	7.48121369834587e-06	0	8.31298570518277e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota|c__Methanomicrobia	0	0	0	0	0	0	0	0	0.00217718580132123	0.00782636497950179	0	0.000532765071219002	6.60774101928624e-05	0	0.549224229925061	0	0	0	9.7933987484116e-05	0	0	0.626756524816188	0	0	0	0	0	1.20209788743352	0.0521016024499273	0.000170547845829238	0.110754763115267	0.00121788693347475	0.000392675982036986	0	0	0	7.48121369834587e-06	0	8.31298570518277e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales	0	0	0	0	0	0	0	0	0.00217718580132123	0.00782636497950179	0	0.000532765071219002	6.60774101928624e-05	0	0.549224229925061	0	0	0	9.7933987484116e-05	0	0	0.626756524816188	0	0	0	0	0	1.20209788743352	0.0521016024499273	0.000170547845829238	0.110754763115267	0.00121788693347475	0.000392675982036986	0	0	0	7.48121369834587e-06	0	8.31298570518277e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae	0	0	0	0	0	0	0	0	0.00217718580132123	0.00782636497950179	0	0.000532765071219002	6.60774101928624e-05	0	0.549224229925061	0	0	0	9.7933987484116e-05	0	0	0.626756524816188	0	0	0	0	0	1.20209788743352	0.0521016024499273	0.000170547845829238	0.110754763115267	0.00121788693347475	0.000392675982036986	0	0	0	7.48121369834587e-06	0	8.31298570518277e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__Methanocorpusculum	0	0	0	0	0	0	0	0	0.00217718580132123	0.00782636497950179	0	0.000532765071219002	6.60774101928624e-05	0	0.549224229925061	0	0	0	9.7933987484116e-05	0	0	0.626756524816188	0	0	0	0	0	1.20209788743352	0.0521016024499273	0.000170547845829238	0.110754763115267	0.00121788693347475	0.000392675982036986	0	0	0	7.48121369834587e-06	0	8.31298570518277e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__Methanocorpusculum|s__Methanocorpusculum parvum	0	0	0	0	0	0	0	0	0.00217718580132123	0.00782636497950179	0	0.000532765071219002	4.68088417632932e-05	0	0.549224229925061	0	0	0	0	0	0	0	0	0	0	0	0	2.74578660087383e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota	2.03771565311134e-06	2.02616404450476e-05	4.09843542323534e-06	0.000224854985856783	1.7066097833988e-05	0	0	4.19566024078792e-06	0.000134085514259725	5.68361306826936e-05	6.20794560804843e-05	9.18890507463276e-05	2.8256863934659e-05	0	0.000236347381271378	8.22943371198803e-06	0.00020376926343182	0.000663133448102643	0.000237083176915458	4.67805896089787e-05	6.81787003005564e-05	2.58436255683978e-05	6.48335759745985e-05	0	2.43377716792486e-05	1.80126764910065e-05	0.00119340721727047	0.00103003993694734	2.02402131409404	0.000241697204818658	0.0593541153402847	0.00028347461212864	0.00620392621709926	0.000297817339427001	2.96388840005924e-05	2.90678940585114e-05	1.59383271428049e-05	3.11955414156108e-05	5.41812507465423e-05	0.000125729701202164	6.66553128968963e-05	6.2043549109083e-05	0.273643221776438	4.6333130225298e-05	0.000373669502956471	0.363635024790847	0	9.63989991523934e-05	0.000753890290838658	0.000215467915962616	0.00182692333852732	6.8770042148642e-05	1.91054326795214e-05	1.41874791279657e-05	2.23788162759073e-05	0.609772410678871
