Taxonomy	reSRR9697535	reSRR9697536	reSRR9697537	reSRR9697538	reSRR9697539	reSRR9697540	reSRR9697541	reSRR9697542	reSRR9697543	reSRR9697544	reSRR9697545	reSRR9697546	reSRR9697547	reSRR9697548	reSRR9697549	reSRR9697550	reSRR9697551	reSRR9697552	reSRR9697553	reSRR9697554	reSRR9697555	reSRR9697556	reSRR9697557	reSRR9697558	reSRR9697559	reSRR9697560	reSRR9697561	reSRR9697562	reSRR9697563	reSRR9697564	reSRR9697566	reSRR9697567	reSRR9697568	reSRR9697569	reSRR9697540.1	reSRR9697548.1	reSRR9697553.1	reSRR9697554.1	reSRR9697560.1	reSRR9697563.1	reSRR9697566
k__Bacteria	0.0797676219355812	1.18884384883951	0.0625618401987041	0.0141935693675629	0.00521231976433769	0	9.93198084141786e-05	0.0252536155508281	0.104639413305793	17.3844472232103	0.154553790123997	1.03408806995751	0.00913629447646117	0	5.0562055642572	0.0296833892444439	0.00707649196755645	0.043502509369342	0	0	0.0372588799948755	0.933966956765045	0.703326921603947	2.63852228410083	1.34017138615703	0	0.022515610548529	15.0728417049878	0	0.231716360101777	0	0.00597975699215416	0.0173108879585331	0.128810550954178	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes	0.0265975306040638	0.0273005439757543	0.0204575897186815	0.00119737810309958	0.00298381396115174	0	1.13855801566974e-05	4.06570163222385e-05	0.0535435315733059	0.0011982039561097	0.074021955983796	0.00976544255792109	0.00619270819042038	0	0.0733669812287867	0.0183140176844004	0.002164794940467	0.00856492577122283	0	0	0.00431432383996959	0.0456025969162286	0.0970065649498227	0.0417171168222781	0.000209255223788315	0	0.00463770690427951	6.02796425241381	0	0.0165189097214013	0	0.000138309127091653	0.00449409441057447	0.0210872278866434	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	0.00164827848866889	0.0253578619320733	0.0112064587038374	9.43292549153449e-06	0.00252620201481144	0	7.77993464292815e-06	9.94132851225915e-06	0.0369175715301778	0.000200501411700811	0.070718986112529	0.00116098251636033	0.00240144389364962	0	0.00191295912606046	0.00188404123365016	0.000348691118495123	0.00173601629861178	0	0	0.000195286066389598	0.00239457355909604	0.00308795858694168	0.00669650528462132	1.49716918611062e-05	0	0.00171925422531987	3.82365711846707	0	0.00515891359784922	0	0.000121483254640333	0.00268767097552241	0.017276370552608	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	0.00164827848866889	0.0253578619320733	0.0112064587038374	9.43292549153449e-06	0.00252620201481144	0	7.77993464292815e-06	9.94132851225915e-06	0.0369175715301778	0.000200501411700811	0.070718986112529	0.00116098251636033	0.00240144389364962	0	0.00191295912606046	0.00188404123365016	0.000348691118495123	0.00173601629861178	0	0	0.000195286066389598	0.00239457355909604	0.00308795858694168	0.00669650528462132	1.49716918611062e-05	0	0.00171925422531987	3.82365711846707	0	0.00515891359784922	0	0.000121483254640333	0.00268767097552241	0.017276370552608	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae	0.00164827848866889	0.0253578619320733	0.0112064587038374	9.43292549153449e-06	0.00252620201481144	0	7.77993464292815e-06	9.94132851225915e-06	0.0369175715301778	0.000200501411700811	0.070718986112529	0.00116098251636033	0.00240144389364962	0	0.00191295912606046	0.00188404123365016	0.000348691118495123	0.00173601629861178	0	0	0.000195286066389598	0.00239457355909604	0.00308795858694168	0.00669650528462132	1.49716918611062e-05	0	0.00171925422531987	3.82365711846707	0	0.00515891359784922	0	0.000121483254640333	0.00268767097552241	0.017276370552608	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__GGB24267	0.00164827848866889	0.0253578619320733	0.0112064587038374	9.43292549153449e-06	0.00252620201481144	0	7.77993464292815e-06	9.94132851225915e-06	0.0369175715301778	0.000200501411700811	0.070718986112529	0.00116098251636033	0.00240144389364962	0	0.00191295912606046	0.00188404123365016	0.000348691118495123	0.00173601629861178	0	0	0.000195286066389598	0.00239457355909604	0.00308795858694168	0.00669650528462132	1.49716918611062e-05	0	0.00171925422531987	3.82365711846707	0	0.00515891359784922	0	0.000121483254640333	0.00268767097552241	0.017276370552608	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__GGB24267|s__GGB24267_SGB36084	0.00164827848866889	0.0253578619320733	0.0112064587038374	9.43292549153449e-06	0.00252620201481144	0	7.77993464292815e-06	9.94132851225915e-06	0.0369175715301778	0.000200501411700811	0.070718986112529	0.00116098251636033	0.00240144389364962	0	0.00191295912606046	0.00188404123365016	0.000348691118495123	0.00173601629861178	0	0	0.000195286066389598	0.00239457355909604	0.00308795858694168	0.00669650528462132	1.49716918611062e-05	0	0.00171925422531987	3.82365711846707	0	0.00515891359784922	0	0.000121483254640333	0.00268767097552241	0.017276370552608	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__GGB24267|s__GGB24267_SGB36084|t__SGB36084	0.00164827848866889	0.0253578619320733	0.0112064587038374	9.43292549153449e-06	0.00252620201481144	0	7.77993464292815e-06	9.94132851225915e-06	0.0369175715301778	0.000200501411700811	0.070718986112529	0.00116098251636033	0.00240144389364962	0	0.00191295912606046	0.00188404123365016	0.000348691118495123	0.00173601629861178	0	0	0.000195286066389598	0.00239457355909604	0.00308795858694168	0.00669650528462132	1.49716918611062e-05	0	0.00171925422531987	3.82365711846707	0	0.00515891359784922	0	0.000121483254640333	0.00268767097552241	0.017276370552608	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	0.0249492521153949	0.00194268204368103	0.00925113101484413	0.00118794517760805	0.000457611946340293	0	3.60564551376926e-06	3.07156878099793e-05	0.0166259600431281	0.000997702544408884	0.003302969871267	0.00860446004156076	0.00379126429677075	0	0.0714540221027262	0.0164299764507502	0.00181610382197188	0.00682890947261104	0	0	0.00411903777357999	0.0432080233571325	0.093918606362881	0.0350206115376567	0.000194283531927209	0	0.00291845267895964	2.20430713394674	0	0.0113599961235521	0	1.68258724513204e-05	0.00180642343505205	0.0038108573340354	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	0.0249492521153949	0.00194268204368103	0.00925113101484413	0.00118794517760805	0.000457611946340293	0	3.60564551376926e-06	3.07156878099793e-05	0.0166259600431281	0.000997702544408884	0.003302969871267	0.00860446004156076	0.00379126429677075	0	0.0714540221027262	0.0164299764507502	0.00181610382197188	0.00682890947261104	0	0	0.00411903777357999	0.0432080233571325	0.093918606362881	0.0350206115376567	0.000194283531927209	0	0.00291845267895964	2.20430713394674	0	0.0113599961235521	0	1.68258724513204e-05	0.00180642343505205	0.0038108573340354	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae	0.0249492521153949	0.00194268204368103	0.00925113101484413	0.00118794517760805	0.000457611946340293	0	3.60564551376926e-06	3.07156878099793e-05	0.0166259600431281	0.000997702544408884	0.003302969871267	0.00860446004156076	0.00379126429677075	0	0.0714540221027262	0.0164299764507502	0.00181610382197188	0.00682890947261104	0	0	0.00411903777357999	0.0432080233571325	0.093918606362881	0.0350206115376567	0.000194283531927209	0	0.00291845267895964	2.20430713394674	0	0.0113599961235521	0	1.68258724513204e-05	0.00180642343505205	0.0038108573340354	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae|g__Sphingobacterium	0.0249492521153949	0.00194268204368103	0.00925113101484413	0.00118794517760805	0.000457611946340293	0	3.60564551376926e-06	3.07156878099793e-05	0.0166259600431281	0.000997702544408884	0.003302969871267	0.00860446004156076	0.00379126429677075	0	0.0714540221027262	0.0164299764507502	0.00181610382197188	0.00682890947261104	0	0	0.00411903777357999	0.0432080233571325	0.093918606362881	0.0350206115376567	0.000194283531927209	0	0.00291845267895964	2.20430713394674	0	0.0113599961235521	0	1.68258724513204e-05	0.00180642343505205	0.0038108573340354	0	0	0	0	0	0	0
