X.mOTUs2_clade	reERR5005154	reERR5005155	reERR5005156	reERR5005157	reERR5005158	reERR5005159	reERR5005160	reERR5005161	reERR5005162	reERR5005163	reERR5005164	reERR5005165	reERR5005166	reERR5005167	reERR5005168	reERR5005169	reERR5005170	reERR5005171	reERR5005283	reERR5005284	reERR5005285	reERR5005286	reERR5005287	reERR5005288	reERR5005289	reERR5005290	reERR5005291	reERR5005292	reERR5005293	reERR5005301	reERR5005302	reERR5005303	reERR5005304	reERR5005305	reERR5005306	reERR5005307	reERR5005308	reERR5005309	reERR5005310	reERR5005311	reERR5005312	reERR5005313	reERR5005314	reERR5005315	reERR5005316	reERR5005317	reERR5005318	reERR5005319	reERR5005320	reERR5005321	reERR5005322	reERR5005323	reERR5005324	reERR5005325	reERR5005326	reERR5005327	reERR5005328	reERR5005329	reERR5005330	reERR5005331	reERR5005334	reERR5005335
k__Archaea	0	0	0	0	0	0	0	0	0	0	0.0614498267	0.0413463359	0.0029495417	0.0360946964	0.0005064748	0.0106644427	0.0483984479	0	0	0.0011823868	0.0013489653	0	0	0	0	0	0	0	0	0	0.0048360194	0	0	0	0	0	0.0386044303	0	0	0	0	0	0	0	0	0.0904702514	0	0	0.0967529591	0	0	0	0.0006378239	0	0	0	0	0	0	0	0.0288821534	0.0181575146
k__Archaea|p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0.0614498267	0.0413463359	0.0029495417	0.0360946964	0.0005064748	0.0106644427	0.0483984479	0	0	0.0011823868	0.0013489653	0	0	0	0	0	0	0	0	0	0.0048360194	0	0	0	0	0	0.0386044303	0	0	0	0	0	0	0	0	0.0904702514	0	0	0.0967529591	0	0	0	0.0006378239	0	0	0	0	0	0	0	0.0288821534	0.0181575146
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis	0	0	0	0	0	0	0	0	0	0	0.0614498267	0.0413463359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006031615	0	0	0	0	0	0	0.0006378239	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis	0	0	0	0	0	0	0	0	0	0	0.0614498267	0.0413463359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006031615	0	0	0	0	0	0	0.0006378239	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis	0	0	0	0	0	0	0	0	0	0	0.0614498267	0.0413463359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006031615	0	0	0	0	0	0	0.0006378239	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis	0	0	0	0	0	0	0	0	0	0	0.0614498267	0.0413463359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006031615	0	0	0	0	0	0	0.0006378239	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_15124]	0	0	0	0	0	0	0	0	0	0	0	0.0413463359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_16233]	0	0	0	0	0	0	0	0	0	0	0.0614498267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota class incertae sedis|o__Euryarchaeota order incertae sedis|f__Euryarchaeota fam. incertae sedis|g__Euryarchaeota gen. incertae sedis|s__Euryarchaeota species incertae sedis [ext_mOTU_v3_26822]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0006031615	0	0	0	0	0	0	0.0006378239	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0.0029495417	0.0029134276	0.0005064748	0.0106644427	0.00249888	0	0	0.0011823868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0386044303	0	0	0	0	0	0	0	0	0.0898670899	0	0	0.0967529591	0	0	0	0	0	0	0	0	0	0	0	0.0288821534	0.0181575146
