Taxonomy	reSRR9320187	reSRR9320188	reSRR9320191	reSRR9320192	reSRR9320193	reSRR9320194	reSRR9320195	reSRR9320196	reSRR9320197	reSRR9320198	reSRR9320199
k__Archaea	0.875891415612939	1.48452511209579	0.145194584707767	0.95453981335267	0.131711412140864	0.157140365741621	0.876235156027099	1.55109336713616	2.49444618514531	2.295534011769	2.90527780819733
k__Archaea|p__Micrarchaeota	0.000204911839223507	0.000548488769643316	0.00135886283182347	0.000474739921392539	0.0017415898709322	0.00259056443947262	0.152891107378139	0.560393681486211	1.06039245827331	0.990749569664942	1.29595360514533
k__Archaea|p__Micrarchaeota|c__Micrarchaeia	0.000204911839223507	0.000548488769643316	0.00135886283182347	0.000474739921392539	0.0017415898709322	0.00259056443947262	0.152891107378139	0.560393681486211	1.06039245827331	0.990749569664942	1.29595360514533
k__Archaea|p__Micrarchaeota|c__Micrarchaeia|o__Micrarchaeales	0.000204911839223507	0.000548488769643316	0.00135886283182347	0.000474739921392539	0.0017415898709322	0.00259056443947262	0.152891107378139	0.560393681486211	1.06039245827331	0.990749569664942	1.29595360514533
k__Archaea|p__Micrarchaeota|c__Micrarchaeia|o__Micrarchaeales|f__Micrarchaeaceae	0.000204911839223507	0.000548488769643316	0.00135886283182347	0.000474739921392539	0.0017415898709322	0.00259056443947262	0.152891107378139	0.560393681486211	1.06039245827331	0.990749569664942	1.29595360514533
k__Archaea|p__Micrarchaeota|c__Micrarchaeia|o__Micrarchaeales|f__Micrarchaeaceae|g__UBA12276	0	0	0.0012336285281283	0.00010246015511706	0.000620124922909797	0.00148694984633676	0.0713297140506547	0.235166196102451	0.458083141687462	0.361061080526259	0.527413124031687
k__Archaea|p__Thermoplasmatota	0.253590312598538	0.271165979442533	0.0866818571017926	0.216637952250364	0.079317230099449	0.0910508250331209	0.131935944622189	0.347169300480317	0.389869004095862	0.403899007747354	0.495359123994267
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata	0.253590312598538	0.271165979442533	0.0866818571017926	0.216637952250364	0.079317230099449	0.0910508250331209	0.131935944622189	0.347169300480317	0.389869004095862	0.403899007747354	0.495359123994267
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__UBA184	0.253590312598538	0.271165979442533	0.0866818571017926	0.216637952250364	0.079317230099449	0.0910508250331209	0.131935944622189	0.347169300480317	0.389869004095862	0.403899007747354	0.495359123994267
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__UBA184|f__UBA184	0.253590312598538	0.271165979442533	0.0866818571017926	0.216637952250364	0.079317230099449	0.0910508250331209	0.131935944622189	0.347169300480317	0.389869004095862	0.403899007747354	0.495359123994267
k__Archaea|p__Thermoplasmatota|c__Thermoplasmata|o__UBA184|f__UBA184|g__UBA184	0.253590312598538	0.271165979442533	0.0866818571017926	0.216637952250364	0.079317230099449	0.0910508250331209	0.131935944622189	0.347169300480317	0.389869004095862	0.403899007747354	0.495359123994267
