X.mOTUs2_clade	reERR4183438	reERR4183439	reERR4183440	reERR4183441	reERR4183442	reERR4183443	reERR4183444	reERR4183445	reERR4183446	reERR4183447	reERR4183448	reERR4183449	reERR4183450	reERR4183451	reERR4183452	reERR4183453	reERR4183454	reERR4183455	reERR4183456	reERR4183457	reERR4183458	reERR4183459	reERR4183460	reERR4183461	reERR4183462	reERR4183463	reERR4183464	reERR4183465	reERR4183466	reERR4183467	reERR4183468	reERR4183469	reERR4183470	reERR4183471	reERR4183472	reERR4183473	reERR4183474	reERR4183475	reERR4183476	reERR4183477	reERR4183478	reERR4183479	reERR4183480	reERR4183481	reERR4183482	reERR4183483	reERR4183484	reERR4183485	reERR4183486	reERR4183487	reERR4183488	reERR4183489	reERR4183490	reERR4183491	reERR4183492	reERR4183493	reERR4183494	reERR4183495	reERR4183496	reERR4183497	reERR4183498	reERR4183499
k__Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0.0006736784	0	0	0	0.0003496954	0.0002196092	0	0	0	8.27348e-05	6.04876e-05	0	0	0	2.86561e-05	0	0	0	0.0001116971	0.0001089552	0	0	0	7.84875e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0.0006736784	0	0	0	0.0003496954	0.0002196092	0	0	0	8.27348e-05	6.04876e-05	0	0	0	2.86561e-05	0	0	0	0.0001116971	0.0001089552	0	0	0	7.84875e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0.0006736784	0	0	0	0.0003496954	0.0002196092	0	0	0	8.27348e-05	6.04876e-05	0	0	0	2.86561e-05	0	0	0	0.0001116971	0.0001089552	0	0	0	7.84875e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0.0006736784	0	0	0	0.0003496954	0.0002196092	0	0	0	8.27348e-05	6.04876e-05	0	0	0	2.86561e-05	0	0	0	0.0001116971	0.0001089552	0	0	0	7.84875e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.0006736784	0	0	0	0.0003496954	0.0002196092	0	0	0	8.27348e-05	6.04876e-05	0	0	0	2.86561e-05	0	0	0	0.0001116971	0.0001089552	0	0	0	7.84875e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacteriaceae gen. incertae sedis	0	0	0	0	0	0	0	0	0	0	0	0	0.0006736784	0	0	0	0.0003496954	0.0002196092	0	0	0	8.27348e-05	6.04876e-05	0	0	0	2.86561e-05	0	0	0	0.0001116971	0.0001089552	0	0	0	7.84875e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobacteriaceae gen. incertae sedis|s__Methanobacteriaceae species incertae sedis [ext_mOTU_v3_15439]	0	0	0	0	0	0	0	0	0	0	0	0	0.0006736784	0	0	0	0.0003496954	0.0002196092	0	0	0	8.27348e-05	6.04876e-05	0	0	0	2.86561e-05	0	0	0	0.0001116971	0.0001089552	0	0	0	7.84875e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	0.9714950948	0.9515264824	0.9659266646	0.9784545638	0.971230171	0.9274967554	0.9584375117	0.9741923233	0.9552928422	0.9312082743	0.9372252718	0.9369070283	0.9685066087	0.9338516533	0.9557733335	0.9534470184	0.9586103832	0.9533973744	0.9644400888	0.946764896	0.9420868978	0.9526943426	0.9445700618	0.9644305055	0.9509412586	0.9496995065	0.9625582358	0.9438601587	0.9419715515	0.9747006653	0.9538960966	0.9520632338	0.9513955742	0.9440098441	0.940459748	0.9415005873	0.9472970241	0.9788739713	0.9774006619	0.9219219816	0.9400893153	0.9369894457	0.9519003662	0.9545383827	0.9731732535	0.9746660622	0.9426672258	0.9439558306	0.9503793423	0.9519776748	0.9337761988	0.9375133287	0.9757335306	0.9734816303	0.9753240362	0.9678724459	0.9690542708	0.9532163602	0.9528076876	0.9597720499	0.9321378575	0.9468311626
k__Bacteria|p__Actinobacteria	0.0054182666	0.0496373959	0.0076316102	0.0216029406	0.0036495097	0.1351870131	0.0369009097	0.0041057771	0.0171690109	0.0796258955	0.0511626025	0.0333015477	0.0107085548	0.0205446669	0.0716146136	0.0737606877	0.058083356	0.0195070948	0.0077123366	0.0210768889	0.0215988517	0.0339939972	0.0137810195	0.0134714274	0.014381853	0.0177031479	0.0107119537	0.0558104156	0.0369240832	0.0059280192	0.0139421861	0.0137274592	0.034105282	0.0206764868	0.0185618192	0.0292416069	0.0442597019	0.0124759776	0.0115977802	0.0287024583	0.0350084781	0.0326982024	0.027836162	0.0296166838	0.0143477912	0.0139521511	0.1328417552	0.1291628924	0.015606072	0.0154337079	0.0297854252	0.0295846264	0.0025513457	0.040627331	0.0404392095	0.0251486025	0.0254244419	0.0097676262	0.0122388113	0.0054165541	0.0131597286	0.0159091134
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.0035019384	0	4.02003e-05	0.0148077721	0.0015824228	1.55075e-05	1.70998e-05	0.0021570618	0.0072315809	4.36609e-05	0.0002205215	0.0165859828	0.0028885939	8.3376e-05	0	0.0001374996	0.0230934577	0.0050803084	1.51438e-05	3.50971e-05	0	0.0113170372	0.0057350232	6.3403e-06	4.79144e-05	0.0128504927	0.0081963409	0	6.41188e-05	0.0026762778	0.0054639671	0.0048961301	1.87218e-05	0	0	0.0123776722	0	2.66669e-05	0	0	0.0004954834	0.0007375594	0	0	4.89196e-05	0	1.87442e-05	6.39071e-05	0	0	0	0	1.4788e-05	0	0	0.0003036048	0.000481421	0.0007213637	0.0007176604	7.21764e-05	2.29005e-05	2.33136e-05
