Taxonomy	reERR1346803	reERR1346806	reERR1346807	reERR1346808	reERR1346810	reERR1346811	reERR1346812	reERR1346813	reERR1346814	reERR1346818	reERR1346821	reERR1346823	reERR1346824	reERR1346829	reERR1346834	reERR1346837	reERR1346839	reERR1346841	reERR1346842	reERR1346846	reERR1346847	reERR1346850	reERR1346851	reERR1346854	reERR1346855	reERR1346856	reERR1346857	reERR1346861	reERR1346862	reERR1346864	reERR1346867	reERR1346869	reERR1346871	reERR1346874	reERR1346877	reERR1346878	reERR1346880	reERR1346881	reERR1346882	reERR1346883	reERR1346884	reERR1346889	reERR1346891	reERR1346892
k__Bacteria	6.21803857313423	24.195562510564	33.4524174685318	28.7990600590216	12.7532148232425	3.60988071826489	7.98023472497777	3.2736489643195	31.6788020573614	6.00021297053442	25.2645575716549	13.1863576121976	25.1422419002477	24.3015002539954	6.59281301161923	18.9904227859347	28.8718500422554	1.02668174037923	6.17972682021298	2.3171038902633	4.68074859710612	7.43712635323769	0.660339668233187	28.1359342354242	4.84249206947208	6.02958348042029	6.70181410887371	5.22260948109872	0	4.24054126426571	6.19606266543793	0	0	2.18076786586766	1.54653743192467	0	0	0	11.5912285569828	2.07595534141218	0	17.9281115300831	35.2227716605606	4.38098728885614
k__Bacteria|p__Acidobacteriota	0.000470636795298275	0.000158327024546063	2.74301452074993e-05	8.08420327135846e-05	0.000273608945984212	7.23777529355107e-05	0.000204085698973544	0.000152966104731485	0.000145163794061607	0.000412616188686	9.61658218620879e-05	0.000188011937722599	0.000166749064943442	5.26953898385718e-05	0.000355723350249871	6.27756538729319e-05	0.186250532419057	0.00312356418290455	0.0269521305842874	0.00209723857351018	0.370674950027084	0.0264869875367118	0.0023644116571039	1.30498418385526	0.0624583334028951	2.78953115453043	0.0436403012393118	0.0063943324809646	0	0.0198307363879118	0.00875354924017218	0	0	0.137845183957897	0.00613834420811831	0	0	0	0.0075022625577346	0.0281149262924542	0	0.00168722425959282	6.05203832998581e-05	0.00369604455508369
k__Bacteria|p__Acidobacteriota|c__Vicinamibacteria	0.000470636795298275	0.000158327024546063	2.74301452074993e-05	8.08420327135846e-05	0.000273608945984212	7.23777529355107e-05	0.000204085698973544	0.000152966104731485	0.000145163794061607	0.000412616188686	9.61658218620879e-05	0.000188011937722599	0.000166749064943442	5.26953898385718e-05	0.000355723350249871	6.27756538729319e-05	0.186250532419057	0.00312356418290455	0.0269521305842874	0.00209723857351018	0.370674950027084	0.0264869875367118	0.0023644116571039	1.30498418385526	0.0624583334028951	2.78953115453043	0.0436403012393118	0.0063943324809646	0	0.0198307363879118	0.00875354924017218	0	0	0.137845183957897	0.00613834420811831	0	0	0	0.0075022625577346	0.0281149262924542	0	0.00168722425959282	6.05203832998581e-05	0.00369604455508369
k__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales	0.000470636795298275	0.000158327024546063	2.74301452074993e-05	8.08420327135846e-05	0.000273608945984212	7.23777529355107e-05	0.000204085698973544	0.000152966104731485	0.000145163794061607	0.000412616188686	9.61658218620879e-05	0.000188011937722599	0.000166749064943442	5.26953898385718e-05	0.000355723350249871	6.27756538729319e-05	0.186250532419057	0.00312356418290455	0.0269521305842874	0.00209723857351018	0.370674950027084	0.0264869875367118	0.0023644116571039	1.30498418385526	0.0624583334028951	2.78953115453043	0.0436403012393118	0.0063943324809646	0	0.0198307363879118	0.00875354924017218	0	0	0.137845183957897	0.00613834420811831	0	0	0	0.0075022625577346	0.0281149262924542	0	0.00168722425959282	6.05203832998581e-05	0.00369604455508369
k__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999	0.000470636795298275	0.000158327024546063	2.74301452074993e-05	8.08420327135846e-05	0.000273608945984212	7.23777529355107e-05	0.000204085698973544	0.000152966104731485	0.000145163794061607	0.000412616188686	9.61658218620879e-05	0.000188011937722599	0.000166749064943442	5.26953898385718e-05	0.000355723350249871	6.27756538729319e-05	0.186250532419057	0.00312356418290455	0.0269521305842874	0.00209723857351018	0.370674950027084	0.0264869875367118	0.0023644116571039	1.30498418385526	0.0624583334028951	2.78953115453043	0.0436403012393118	0.0063943324809646	0	0.0198307363879118	0.00875354924017218	0	0	0.137845183957897	0.00613834420811831	0	0	0	0.0075022625577346	0.0281149262924542	0	0.00168722425959282	6.05203832998581e-05	0.00369604455508369
k__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999|g__WHSN01	0.000470636795298275	0.000158327024546063	2.74301452074993e-05	8.08420327135846e-05	0.000273608945984212	7.23777529355107e-05	0.000204085698973544	0.000152966104731485	0.000145163794061607	0.000412616188686	9.61658218620879e-05	0.000188011937722599	0.000166749064943442	5.26953898385718e-05	0.000355723350249871	6.27756538729319e-05	0.186250532419057	0.00312356418290455	0.0269521305842874	0.00209723857351018	0.370674950027084	0.0264869875367118	0.0023644116571039	1.30498418385526	0.0624583334028951	2.78953115453043	0.0436403012393118	0.0063943324809646	0	0.0198307363879118	0.00875354924017218	0	0	0.137845183957897	0.00613834420811831	0	0	0	0.0075022625577346	0.0281149262924542	0	0.00168722425959282	6.05203832998581e-05	0.00369604455508369
k__Bacteria|p__Actinobacteriota	3.3563060209939	6.54074424764132	1.29511340205726	5.26370965575268	0.0849625250823061	0.0586858547266716	0.0650111940311871	0.919251896952654	0.483537189204098	3.13735689563353	1.67808392608497	3.65905014051625	8.92599887726008	1.90154938533458	0.0421327037087155	0.0275945105706259	0.0667475275218199	0.0586131184372041	0.0366048729960135	0.417708321266968	0.053741972912151	0.0271825614714228	0.0370187437316613	0.0402686600073099	0.104414195433287	0.0287027362771214	0.00190124370058176	0.00360936048315545	0	0.00802676317105206	0.00343049899927808	0	0	0.00902738742544395	0.00927750819860108	0	0	0	0.00250194924813361	0.0995881278243697	0	7.74296875609293	10.8790012495925	2.83748715940808
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia	0.284885016743775	2.08144917815194	0.000496979225856862	0.00367256222629046	0.000926672848656475	0.000235588239307022	0.00254474984266173	0.00104503980621462	0.000370338563649326	3.0693132987692	0.0243327508091069	0.000748673194987598	0.14006328874601	0.000722479432072495	0.00132158607552689	0.000106893203407592	0.00309817184546922	0.040986163012354	0.0154793626102863	0.336126361645044	0.0174745358024593	0.00387105721512476	0.0187310500646255	0.0328935061025763	0.044222926187117	0.00374657490607803	0.000384021497443184	0.00104332441653203	0	0.00116820294606073	0.000181771757740628	0	0	0.000804178263617899	0.000298297053151035	0	0	0	0.000148296818626645	0.027923910958813	0	0.00109793370048754	0.000258574527916658	0.00057767636029598
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales	0.284885016743775	2.08144917815194	0.000496979225856862	0.00367256222629046	0.000926672848656475	0.000235588239307022	0.00254474984266173	0.00104503980621462	0.000370338563649326	3.0693132987692	0.0243327508091069	0.000748673194987598	0.14006328874601	0.000722479432072495	0.00132158607552689	0.000106893203407592	0.00309817184546922	0.040986163012354	0.0154793626102863	0.336126361645044	0.0174745358024593	0.00387105721512476	0.0187310500646255	0.0328935061025763	0.044222926187117	0.00374657490607803	0.000384021497443184	0.00104332441653203	0	0.00116820294606073	0.000181771757740628	0	0	0.000804178263617899	0.000298297053151035	0	0	0	0.000148296818626645	0.027923910958813	0	0.00109793370048754	0.000258574527916658	0.00057767636029598
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__Ilumatobacteraceae	0.00408411747972846	0.000716312330347926	2.99038693659453e-05	0.000602826876782397	0.000519013699786845	0.000189371935357523	0.00213591067563806	0.000680384875293827	0.000352682693659784	3.05400676287859	0.000327095539464255	7.02745231448011e-05	0.000473899755961868	7.75542621703178e-05	0.00103189436351893	0	0.000531145628793381	0.000638485422984014	0.000556830382949928	0.00372352203632879	0.000500373114883407	0.000261515367881271	0.00188279838780213	0.000689292578785592	0.00222370123992527	0.000404888834603559	0.000353359279727347	6.27781513492495e-05	0	0.00102815380024085	0.000100232484743639	0	0	0.000552486885405718	8.27865967834025e-05	0	0	0	0	0.0230856248302865	0	0.000864288244579897	3.95869643959691e-05	3.22349102302874e-05
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2	0.280800899264046	2.08073286582159	0.000467075356490917	0.00306973534950807	0.00040765914886963	4.62163039494995e-05	0.000408839167023675	0.000364654930920792	1.76558699895414e-05	0.0153065358906102	0.0240056552696427	0.000678398671842797	0.139589388990048	0.000644925169902178	0.000289691712007963	0.000106893203407592	0.00256702621667584	0.04034767758937	0.0149225322273364	0.332402839608715	0.0169741626875759	0.00360954184724348	0.0168482516768234	0.0322042135237907	0.0419992249471918	0.00334168607147447	3.06622177158376e-05	0.000980546265182783	0	0.000140049145819875	8.15392729969894e-05	0	0	0.000251691378212181	0.000215510456367632	0	0	0	0.000148296818626645	0.00483828612852651	0	0.00023364545590764	0.000218987563520689	0.000545441450065692
k__Bacteria|p__Actinobacteriota|c__Acidimicrobiia|o__Acidimicrobiales|f__RAAP-2|g__Bog-756	0.280800899264046	2.08073286582159	0.000467075356490917	0.00306973534950807	0.00040765914886963	4.62163039494995e-05	0.000408839167023675	0.000364654930920792	1.76558699895414e-05	0.0153065358906102	0.0240056552696427	0.000678398671842797	0.139589388990048	0.000644925169902178	0.000289691712007963	0.000106893203407592	0.00256702621667584	0.04034767758937	0.0149225322273364	0.332402839608715	0.0169741626875759	0.00360954184724348	0.0168482516768234	0.0322042135237907	0.0419992249471918	0.00334168607147447	3.06622177158376e-05	0.000980546265182783	0	0.000140049145819875	8.15392729969894e-05	0	0	0.000251691378212181	0.000215510456367632	0	0	0	0.000148296818626645	0.00483828612852651	0	0.00023364545590764	0.000218987563520689	0.000545441450065692
k__Bacteria|p__Actinobacteriota|c__Actinomycetia	0.0284951840932257	4.37101327276101	1.29348117634003	5.25906248981079	0.0818422403832128	0.0567808701296667	0.0517136043320192	0.917516599608743	0.482577125476604	0.0572970125675248	0.931416287087711	3.65709065096378	8.53451289536314	1.90041974124377	0.0218829684580723	0.0241841718206039	0.0612501509084977	0.0140366718191218	0.0154469872971339	0.0119531294719792	0.0210050773714927	0.019631932255415	0.0115147783701894	0.00347574981472458	0.0456966671038994	0.0227831265488973	0.000555597691987589	0.0019830422825697	0	0.00518695245084279	0.0021644661737422	0	0	0.00522925489391003	0.0023554634364984	0	0	0	0.00152814227799921	0.0480253258772587	0	7.74021396564108	10.8780841831753	2.83405085134745
