Taxonomy	reERR1346801	reERR1346802	reERR1346803	reERR1346804	reERR1346805	reERR1346806	reERR1346807	reERR1346808	reERR1346809	reERR1346810	reERR1346811	reERR1346812	reERR1346813	reERR1346814	reERR1346815	reERR1346816	reERR1346817	reERR1346818	reERR1346819	reERR1346820	reERR1346821	reERR1346822	reERR1346823	reERR1346824	reERR1346825	reERR1346826	reERR1346827	reERR1346828	reERR1346829	reERR1346830	reERR1346831	reERR1346832	reERR1346833	reERR1346834	reERR1346835	reERR1346836	reERR1346837	reERR1346838	reERR1346839	reERR1346840	reERR1346841	reERR1346842	reERR1346843	reERR1346844	reERR1346845	reERR1346846	reERR1346847	reERR1346848	reERR1346849	reERR1346850	reERR1346851	reERR1346852	reERR1346853	reERR1346854	reERR1346855	reERR1346856	reERR1346857	reERR1346858	reERR1346859	reERR1346860	reERR1346861	reERR1346862	reERR1346863	reERR1346864	reERR1346865	reERR1346866	reERR1346867	reERR1346868	reERR1346869	reERR1346870	reERR1346871	reERR1346872	reERR1346873	reERR1346874	reERR1346875	reERR1346876	reERR1346877	reERR1346878	reERR1346879	reERR1346880	reERR1346881	reERR1346882	reERR1346883	reERR1346884	reERR1346887	reERR1346888	reERR1346889	reERR1346890	reERR1346891	reERR1346892	reERR1346875.1	reERR1346878.1	reERR1346884
k__Bacteria	10.56287669336	22.4483023932377	1.34490453147502	22.8655218211838	12.7633519543375	8.47688464746035	31.9899799316786	28.0783370531192	12.2905992707272	14.183055150529	1.28617295244848	5.12602394916249	0	25.4471249245477	9.18025476147883	1.91574470185956	12.2185675898034	1.35130713193115	20.3443074736386	0	29.086941911272	5.85350334487403	1.5432407625618	7.59147715185477	26.5041655407875	1.73633877919326	4.0651505265328	0	25.0699924198634	7.07123994338477	8.63000353765246	23.1795361407033	18.2053500080299	6.13830388754534	21.7471310946078	0	15.4528833487087	19.6704203444641	25.0660857967925	9.0926585328264	0	0	3.85560864547785	0	4.71430441380964	0	0	20.3840716148893	0	1.43101952548276	0	0	0	20.9958584399249	0	1.32709408371766	8.96439010132421	0	3.70385305722774	0	0.945920980811186	0	0	0	29.3443708146501	0	22.7681694088225	18.389134094502	0	8.85778043299774	0	0	11.710823144521	3.37079262503701	0	3.91608275075347	0	0	0	0	0	8.65914547107434	0	0	4.87226956148689	15.1684334378562	15.647643298106	0	46.5109449459975	0	0	0	0
k__Bacteria|p__Acidobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.277705715837013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__CFGB37891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.277705715837013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__CFGB37891|o__OFGB37891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.277705715837013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteria|c__CFGB37891|o__OFGB37891|f__FGB37891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.277705715837013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria	3.64230979169858	4.44644278885885	1.34490453147502	3.25098875385462	11.5039392231264	3.88644091720815	1.33233695902499	6.30785960078231	4.97667499760785	1.84004631009015	0	0	0	6.41136264133932	1.78933786282656	1.91574470185956	9.91053085477716	0.77841440812324	1.46815927510813	0	0.638336355176394	5.85350334487403	0	4.11054061625956	2.07473878500052	0	2.64502906399659	0	20.0379363147623	5.7257127089423	2.90917909634102	1.98619081073859	1.65261624567093	0	0	0	0	0.842347018025192	0	1.55009716083061	0	0	0	0	0	0	0	1.89583399692061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.68764201157087	0	13.9523267714376	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	1.76815501508932	2.8682412800414	0	2.57999283796831	7.11000693613872	0	0	6.30785960078231	2.11122292185622	1.84004631009015	0	0	0	6.41136264133932	0	0	3.24273067863601	0	0.297759154680313	0	0.638336355176394	0	0	3.28684777893997	0	0	2.64502906399659	0	20.0379363147623	5.7257127089423	2.11569887769316	0.72692432278862	1.13887361926141	0	0	0	0	0.842347018025192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.68764201157087	0	13.9523267714376	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Catenulisporales	0	0	0	0.888908893508829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Catenulisporales|f__Actinospicaceae	0	0	0	0.888908893508829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Catenulisporales|f__Actinospicaceae|g__Actinospica	0	0	0	0.888908893508829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
